region_code,weather_param,year,key,value
UK,Max temp,1937,MAR,5.6
UK,Max temp,1937,APR,11.4
UK,Max temp,1937,MAY,15.3
UK,Max temp,1937,JUN,17.0
UK,Max temp,1937,JUL,18.4
UK,Max temp,1937,AUG,19.9
UK,Max temp,1937,SEP,16.2
UK,Max temp,1937,OCT,12.7
UK,Max temp,1937,NOV,7.9
UK,Max temp,1937,DEC,4.8
UK,Max temp,1938,JAN,7.4
UK,Max temp,1938,FEB,7.0
UK,Max temp,1938,MAR,11.9
UK,Max temp,1938,APR,11.5
UK,Max temp,1938,MAY,13.7
UK,Max temp,1938,JUN,16.8
UK,Max temp,1938,JUL,17.7
UK,Max temp,1938,AUG,18.9
UK,Max temp,1938,SEP,16.5
UK,Max temp,1938,OCT,12.6
UK,Max temp,1938,NOV,10.6
UK,Max temp,1938,DEC,6.1
UK,Max temp,1939,JAN,5.6
UK,Max temp,1939,FEB,7.8
UK,Max temp,1939,MAR,8.2
UK,Max temp,1939,APR,11.5
UK,Max temp,1939,MAY,14.7
UK,Max temp,1939,JUN,17.9
UK,Max temp,1939,JUL,17.7
UK,Max temp,1939,AUG,19.3
UK,Max temp,1939,SEP,16.9
UK,Max temp,1939,OCT,11.1
UK,Max temp,1939,NOV,10.1
UK,Max temp,1939,DEC,5.3
UK,Max temp,1940,JAN,2.0
UK,Max temp,1940,FEB,4.6
UK,Max temp,1940,MAR,8.5
UK,Max temp,1940,APR,11.1
UK,Max temp,1940,MAY,16.3
UK,Max temp,1940,JUN,20.6
UK,Max temp,1940,JUL,17.7
UK,Max temp,1940,AUG,18.6
UK,Max temp,1940,SEP,15.8
UK,Max temp,1940,OCT,12.0
UK,Max temp,1940,NOV,8.8
UK,Max temp,1940,DEC,6.0
UK,Max temp,1941,JAN,2.2
UK,Max temp,1941,FEB,5.3
UK,Max temp,1941,MAR,7.5
UK,Max temp,1941,APR,9.0
UK,Max temp,1941,MAY,12.7
UK,Max temp,1941,JUN,18.2
UK,Max temp,1941,JUL,20.1
UK,Max temp,1941,AUG,17.3
UK,Max temp,1941,SEP,17.5
UK,Max temp,1941,OCT,12.9
UK,Max temp,1941,NOV,8.7
UK,Max temp,1941,DEC,7.6
UK,Max temp,1942,JAN,3.6
UK,Max temp,1942,FEB,3.0
UK,Max temp,1942,MAR,7.5
UK,Max temp,1942,APR,12.5
UK,Max temp,1942,MAY,14.5
UK,Max temp,1942,JUN,17.6
UK,Max temp,1942,JUL,18.2
UK,Max temp,1942,AUG,18.7
UK,Max temp,1942,SEP,16.1
UK,Max temp,1942,OCT,12.6
UK,Max temp,1942,NOV,7.9
UK,Max temp,1942,DEC,8.4
UK,Max temp,1943,JAN,6.5
UK,Max temp,1943,FEB,8.3
UK,Max temp,1943,MAR,9.9
UK,Max temp,1943,APR,13.3
UK,Max temp,1943,MAY,15.2
UK,Max temp,1943,JUN,17.3
UK,Max temp,1943,JUL,19.4
UK,Max temp,1943,AUG,18.0
UK,Max temp,1943,SEP,15.8
UK,Max temp,1943,OCT,13.3
UK,Max temp,1943,NOV,8.4
UK,Max temp,1943,DEC,6.0
UK,Max temp,1944,JAN,7.9
UK,Max temp,1944,FEB,5.8
UK,Max temp,1944,MAR,8.4
UK,Max temp,1944,APR,12.9
UK,Max temp,1944,MAY,14.5
UK,Max temp,1944,JUN,16.3
UK,Max temp,1944,JUL,18.6
UK,Max temp,1944,AUG,20.0
UK,Max temp,1944,SEP,15.2
UK,Max temp,1944,OCT,11.4
UK,Max temp,1944,NOV,8.0
UK,Max temp,1944,DEC,5.9
UK,Max temp,1945,JAN,2.7
UK,Max temp,1945,FEB,8.9
UK,Max temp,1945,MAR,11.0
UK,Max temp,1945,APR,13.1
UK,Max temp,1945,MAY,15.1
UK,Max temp,1945,JUN,17.2
UK,Max temp,1945,JUL,19.4
UK,Max temp,1945,AUG,18.9
UK,Max temp,1945,SEP,16.8
UK,Max temp,1945,OCT,14.4
UK,Max temp,1945,NOV,9.4
UK,Max temp,1945,DEC,7.2
UK,Max temp,1946,JAN,5.4
UK,Max temp,1946,FEB,7.5
UK,Max temp,1946,MAR,8.3
UK,Max temp,1946,APR,13.2
UK,Max temp,1946,MAY,14.2
UK,Max temp,1946,JUN,15.9
UK,Max temp,1946,JUL,18.7
UK,Max temp,1946,AUG,17.2
UK,Max temp,1946,SEP,16.0
UK,Max temp,1946,OCT,11.8
UK,Max temp,1946,NOV,9.6
UK,Max temp,1946,DEC,5.5
UK,Max temp,1947,JAN,4.3
UK,Max temp,1947,FEB,0.1
UK,Max temp,1947,MAR,5.3
UK,Max temp,1947,APR,11.0
UK,Max temp,1947,MAY,16.2
UK,Max temp,1947,JUN,18.0
UK,Max temp,1947,JUL,19.3
UK,Max temp,1947,AUG,22.7
UK,Max temp,1947,SEP,17.6
UK,Max temp,1947,OCT,13.8
UK,Max temp,1947,NOV,9.0
UK,Max temp,1947,DEC,6.8
UK,Max temp,1948,JAN,6.4
UK,Max temp,1948,FEB,6.6
UK,Max temp,1948,MAR,11.8
UK,Max temp,1948,APR,12.2
UK,Max temp,1948,MAY,15.2
UK,Max temp,1948,JUN,16.2
UK,Max temp,1948,JUL,18.3
UK,Max temp,1948,AUG,17.2
UK,Max temp,1948,SEP,16.0
UK,Max temp,1948,OCT,12.4
UK,Max temp,1948,NOV,9.7
UK,Max temp,1948,DEC,7.6
UK,Max temp,1949,JAN,7.4
UK,Max temp,1949,FEB,8.3
UK,Max temp,1949,MAR,7.9
UK,Max temp,1949,APR,12.7
UK,Max temp,1949,MAY,14.5
UK,Max temp,1949,JUN,18.6
UK,Max temp,1949,JUL,20.4
UK,Max temp,1949,AUG,19.6
UK,Max temp,1949,SEP,18.8
UK,Max temp,1949,OCT,14.0
UK,Max temp,1949,NOV,8.8
UK,Max temp,1949,DEC,7.3
UK,Max temp,1950,JAN,6.3
UK,Max temp,1950,FEB,7.1
UK,Max temp,1950,MAR,10.3
UK,Max temp,1950,APR,10.2
UK,Max temp,1950,MAY,14.3
UK,Max temp,1950,JUN,19.1
UK,Max temp,1950,JUL,18.6
UK,Max temp,1950,AUG,18.4
UK,Max temp,1950,SEP,15.0
UK,Max temp,1950,OCT,11.9
UK,Max temp,1950,NOV,7.5
UK,Max temp,1950,DEC,3.0
UK,Max temp,1951,JAN,5.4
UK,Max temp,1951,FEB,5.3
UK,Max temp,1951,MAR,6.3
UK,Max temp,1951,APR,9.5
UK,Max temp,1951,MAY,12.8
UK,Max temp,1951,JUN,17.0
UK,Max temp,1951,JUL,19.0
UK,Max temp,1951,AUG,17.3
UK,Max temp,1951,SEP,16.5
UK,Max temp,1951,OCT,12.8
UK,Max temp,1951,NOV,10.0
UK,Max temp,1951,DEC,7.5
UK,Max temp,1952,JAN,4.5
UK,Max temp,1952,FEB,5.9
UK,Max temp,1952,MAR,8.6
UK,Max temp,1952,APR,12.8
UK,Max temp,1952,MAY,16.2
UK,Max temp,1952,JUN,16.8
UK,Max temp,1952,JUL,19.3
UK,Max temp,1952,AUG,18.4
UK,Max temp,1952,SEP,13.6
UK,Max temp,1952,OCT,11.3
UK,Max temp,1952,NOV,6.2
UK,Max temp,1952,DEC,5.3
UK,Max temp,1953,JAN,5.7
UK,Max temp,1953,FEB,6.7
UK,Max temp,1953,MAR,9.8
UK,Max temp,1953,APR,10.3
UK,Max temp,1953,MAY,15.7
UK,Max temp,1953,JUN,17.1
UK,Max temp,1953,JUL,17.9
UK,Max temp,1953,AUG,18.8
UK,Max temp,1953,SEP,16.6
UK,Max temp,1953,OCT,12.7
UK,Max temp,1953,NOV,10.1
UK,Max temp,1953,DEC,8.5
UK,Max temp,1954,JAN,5.1
UK,Max temp,1954,FEB,4.6
UK,Max temp,1954,MAR,8.0
UK,Max temp,1954,APR,11.2
UK,Max temp,1954,MAY,14.3
UK,Max temp,1954,JUN,15.9
UK,Max temp,1954,JUL,16.4
UK,Max temp,1954,AUG,16.8
UK,Max temp,1954,SEP,15.1
UK,Max temp,1954,OCT,13.5
UK,Max temp,1954,NOV,9.0
UK,Max temp,1954,DEC,8.1
UK,Max temp,1955,JAN,4.3
UK,Max temp,1955,FEB,3.2
UK,Max temp,1955,MAR,6.3
UK,Max temp,1955,APR,12.7
UK,Max temp,1955,MAY,12.7
UK,Max temp,1955,JUN,16.5
UK,Max temp,1955,JUL,21.3
UK,Max temp,1955,AUG,21.2
UK,Max temp,1955,SEP,17.2
UK,Max temp,1955,OCT,12.0
UK,Max temp,1955,NOV,9.4
UK,Max temp,1955,DEC,7.4
UK,Max temp,1956,JAN,5.4
UK,Max temp,1956,FEB,3.0
UK,Max temp,1956,MAR,9.0
UK,Max temp,1956,APR,10.3
UK,Max temp,1956,MAY,15.4
UK,Max temp,1956,JUN,15.9
UK,Max temp,1956,JUL,18.0
UK,Max temp,1956,AUG,15.9
UK,Max temp,1956,SEP,16.4
UK,Max temp,1956,OCT,12.1
UK,Max temp,1956,NOV,8.4
UK,Max temp,1956,DEC,7.6
UK,Max temp,1957,JAN,7.5
UK,Max temp,1957,FEB,7.0
UK,Max temp,1957,MAR,11.2
UK,Max temp,1957,APR,11.9
UK,Max temp,1957,MAY,13.9
UK,Max temp,1957,JUN,19.0
UK,Max temp,1957,JUL,18.4
UK,Max temp,1957,AUG,17.8
UK,Max temp,1957,SEP,14.6
UK,Max temp,1957,OCT,13.1
UK,Max temp,1957,NOV,8.3
UK,Max temp,1957,DEC,6.8
UK,Max temp,1958,JAN,5.6
UK,Max temp,1958,FEB,6.6
UK,Max temp,1958,MAR,5.8
UK,Max temp,1958,APR,10.4
UK,Max temp,1958,MAY,13.8
UK,Max temp,1958,JUN,16.4
UK,Max temp,1958,JUL,18.4
UK,Max temp,1958,AUG,18.1
UK,Max temp,1958,SEP,17.5
UK,Max temp,1958,OCT,13.0
UK,Max temp,1958,NOV,8.8
UK,Max temp,1958,DEC,6.4
UK,Max temp,1959,JAN,4.0
UK,Max temp,1959,FEB,6.9
UK,Max temp,1959,MAR,9.6
UK,Max temp,1959,APR,11.9
UK,Max temp,1959,MAY,16.3
UK,Max temp,1959,JUN,18.2
UK,Max temp,1959,JUL,20.1
UK,Max temp,1959,AUG,20.2
UK,Max temp,1959,SEP,18.8
UK,Max temp,1959,OCT,15.4
UK,Max temp,1959,NOV,9.2
UK,Max temp,1959,DEC,7.5
UK,Max temp,1960,JAN,5.8
UK,Max temp,1960,FEB,5.8
UK,Max temp,1960,MAR,8.1
UK,Max temp,1960,APR,12.1
UK,Max temp,1960,MAY,16.2
UK,Max temp,1960,JUN,19.3
UK,Max temp,1960,JUL,17.7
UK,Max temp,1960,AUG,17.7
UK,Max temp,1960,SEP,15.7
UK,Max temp,1960,OCT,12.1
UK,Max temp,1960,NOV,9.0
UK,Max temp,1960,DEC,5.6
UK,Max temp,1961,JAN,5.4
UK,Max temp,1961,FEB,8.6
UK,Max temp,1961,MAR,11.2
UK,Max temp,1961,APR,12.0
UK,Max temp,1961,MAY,14.1
UK,Max temp,1961,JUN,17.4
UK,Max temp,1961,JUL,17.5
UK,Max temp,1961,AUG,18.0
UK,Max temp,1961,SEP,17.4
UK,Max temp,1961,OCT,13.0
UK,Max temp,1961,NOV,8.1
UK,Max temp,1961,DEC,4.6
UK,Max temp,1962,JAN,6.5
UK,Max temp,1962,FEB,6.7
UK,Max temp,1962,MAR,5.6
UK,Max temp,1962,APR,10.6
UK,Max temp,1962,MAY,12.9
UK,Max temp,1962,JUN,16.9
UK,Max temp,1962,JUL,17.2
UK,Max temp,1962,AUG,16.7
UK,Max temp,1962,SEP,14.8
UK,Max temp,1962,OCT,13.1
UK,Max temp,1962,NOV,7.5
UK,Max temp,1962,DEC,5.0
UK,Max temp,1963,JAN,0.9
UK,Max temp,1963,FEB,1.9
UK,Max temp,1963,MAR,8.4
UK,Max temp,1963,APR,10.8
UK,Max temp,1963,MAY,13.3
UK,Max temp,1963,JUN,17.5
UK,Max temp,1963,JUL,17.8
UK,Max temp,1963,AUG,16.5
UK,Max temp,1963,SEP,15.6
UK,Max temp,1963,OCT,13.0
UK,Max temp,1963,NOV,9.3
UK,Max temp,1963,DEC,5.0
UK,Max temp,1964,JAN,5.8
UK,Max temp,1964,FEB,6.4
UK,Max temp,1964,MAR,6.2
UK,Max temp,1964,APR,11.2
UK,Max temp,1964,MAY,15.8
UK,Max temp,1964,JUN,16.3
UK,Max temp,1964,JUL,18.4
UK,Max temp,1964,AUG,18.1
UK,Max temp,1964,SEP,17.0
UK,Max temp,1964,OCT,11.7
UK,Max temp,1964,NOV,9.4
UK,Max temp,1964,DEC,5.8
UK,Max temp,1965,JAN,5.1
UK,Max temp,1965,FEB,5.4
UK,Max temp,1965,MAR,7.9
UK,Max temp,1965,APR,11.1
UK,Max temp,1965,MAY,14.0
UK,Max temp,1965,JUN,17.0
UK,Max temp,1965,JUL,16.2
UK,Max temp,1965,AUG,17.5
UK,Max temp,1965,SEP,14.7
UK,Max temp,1965,OCT,13.4
UK,Max temp,1965,NOV,6.4
UK,Max temp,1965,DEC,6.2
UK,Max temp,1966,JAN,4.4
UK,Max temp,1966,FEB,6.4
UK,Max temp,1966,MAR,9.0
UK,Max temp,1966,APR,9.0
UK,Max temp,1966,MAY,14.2
UK,Max temp,1966,JUN,17.8
UK,Max temp,1966,JUL,17.6
UK,Max temp,1966,AUG,17.4
UK,Max temp,1966,SEP,16.4
UK,Max temp,1966,OCT,12.2
UK,Max temp,1966,NOV,7.3
UK,Max temp,1966,DEC,7.1
UK,Max temp,1967,JAN,6.1
UK,Max temp,1967,FEB,7.3
UK,Max temp,1967,MAR,9.0
UK,Max temp,1967,APR,10.6
UK,Max temp,1967,MAY,12.7
UK,Max temp,1967,JUN,17.4
UK,Max temp,1967,JUL,19.0
UK,Max temp,1967,AUG,18.2
UK,Max temp,1967,SEP,16.0
UK,Max temp,1967,OCT,12.3
UK,Max temp,1967,NOV,8.0
UK,Max temp,1967,DEC,6.3
UK,Max temp,1968,JAN,6.2
UK,Max temp,1968,FEB,4.0
UK,Max temp,1968,MAR,8.7
UK,Max temp,1968,APR,11.2
UK,Max temp,1968,MAY,12.4
UK,Max temp,1968,JUN,17.8
UK,Max temp,1968,JUL,17.4
UK,Max temp,1968,AUG,18.1
UK,Max temp,1968,SEP,16.0
UK,Max temp,1968,OCT,13.9
UK,Max temp,1968,NOV,8.0
UK,Max temp,1968,DEC,5.1
UK,Max temp,1969,JAN,6.9
UK,Max temp,1969,FEB,2.9
UK,Max temp,1969,MAR,5.6
UK,Max temp,1969,APR,10.7
UK,Max temp,1969,MAY,13.5
UK,Max temp,1969,JUN,17.5
UK,Max temp,1969,JUL,19.5
UK,Max temp,1969,AUG,18.8
UK,Max temp,1969,SEP,16.3
UK,Max temp,1969,OCT,15.2
UK,Max temp,1969,NOV,7.1
UK,Max temp,1969,DEC,5.4
UK,Max temp,1970,JAN,5.5
UK,Max temp,1970,FEB,5.0
UK,Max temp,1970,MAR,6.4
UK,Max temp,1970,APR,9.2
UK,Max temp,1970,MAY,15.5
UK,Max temp,1970,JUN,19.7
UK,Max temp,1970,JUL,17.2
UK,Max temp,1970,AUG,18.8
UK,Max temp,1970,SEP,16.6
UK,Max temp,1970,OCT,12.9
UK,Max temp,1970,NOV,9.1
UK,Max temp,1970,DEC,6.2
UK,Max temp,1971,JAN,6.4
UK,Max temp,1971,FEB,7.1
UK,Max temp,1971,MAR,7.7
UK,Max temp,1971,APR,10.6
UK,Max temp,1971,MAY,15.0
UK,Max temp,1971,JUN,15.0
